Id,Key,Latina(lat),English(en),Ukrainian(Ua)
381,fossa sacci lacrimalis,fossa sacci lacrimalis,fossa for lacrimal sac,ямка сльозового мішка
382,hamulus lacrimalis,hamulus lacrimalis,lacrimal hook,сльозовий гачок
383,crista lacrimalis posterior,crista lacrimalis posterior,posterior lacrimal crest,задній сльозовий гребінь
384,Vomer,Vomer,Vomer,Леміш
385,ala vomeris,ala vomeris,wing of vomer,крило лемеша
386,sulcus vomeris,sulcus vomeris,vomer groove,борозна лемеша
388,Os zygomaticum,Os zygomaticum,Os zygomaticum,Вилична кістка
389,foramen zygomaticofaciale,foramen zygomaticofaciale,foramen zygomaticofaciale,вилично-лицевий отвір
390,tuberculum marginale,tuberculum marginale,tuberculum marginale,крайовий горбок
391,foramen zygomaticotemporale,foramen zygomaticotemporale,zygomaticotemporal foramen,вилично-скроневий отвір
392,processus temporalis,processus temporalis,temporal process,скроневий відросток
393,foramina zygomaticoorbitalia,foramina zygomaticoorbitalia,zygomaticoorbital foramen,вилично-очноямкові отвори
394,eminentia orbitalis,eminentia orbitalis,orbital eminence,очноямкове підвищення
395,Mandibula,Mandibula,Lower jaw,Нижня щелепа
398,caput mandibulae,caput mandibulae,head of lower jaw,головка нижньої щелепи
399,incisura mandibulae,incisura mandibulae,notch of lower jaw,вирізка нижньої щелепи
404,processus coronoideus,processus coronoideus,coronoid process,вінцевий відросток
405,lingula mandibulae,lingula mandibulae,lingula of lower jaw,язичок нижньої щелепи
406,pars alveolaris,pars alveolaris,alveolar part,коміркова частина
407,foramen mentale,foramen mentale,mental foramen,підборідний отвір
408,corpus mandibulae,corpus mandibulae,body of lower jaw,тіло нижньої щелепи
409,basis mandibulae,basis mandibulae,base of lower jaw,основа нижньої щелепи
410,linea obliqua,linea obliqua,oblique line,коса лінія
411,tuberositas masseterica,tuberositas masseterica,masseteric tuberosity,жувальна горбистість
412,ramus mandibulae,ramus mandibulae,branch of lower jaw,гілка нижньої щелепи
413,processus condylaris,processus condylaris,condylar process,виростковий відросток
414,collum mandibulae,collum mandibulae,neck of lower jaw,шийка нижньої щелепи
415,fovea pterygoidea,fovea pterygoidea,pterygoid fossa,крилоподібна ямка
416,foramen mandibulae,foramen mandibulae,mandibular foramen,отвір нижньої щелепи
417,fovea sublingualis,fovea sublingualis,sublingual fovea,під’язикова ямка
418,torus mandibularis,torus mandibularis,mandibular torus,нижньощелепний валок
419,linea mylohyoidea,linea mylohyoidea,mylohyoid line,щелепно-під’язикова лінія
420,sulcus mylohyoideus,sulcus mylohyoideus,mylohyoid groove,щелепно-під’язикова борозна
421,tuberositas pterygoidea,tuberositas pterygoidea,pterygoid tuberositas,крилоподібна горбистіть
422,fovea submandibularis,fovea submandibularis,submandibular fovea,піднижньощелепна ямка
423,spina mentalis,spina mentalis,mental spine,підборідна ость
424,fossa digastrica,fossa digastrica,digastric fossa,двочеревцева ямка
425,angulus mandibulae,angulus mandibulae,mandibular angle,кут нижньої щелепи
426,tuberculum mentale,tuberculum mentale,mental tuberculum,підборідний горбок
427,protuberantia mentalis,protuberantia mentalis,mental protuberantce,підборідний виступ
428,alveoli dentales,alveoli dentales,dental alveoli,зубні комірки
429,septa interalveolaria,septa interalveolaria,interalveolar septa,міжкоміркові перегородки
430,septa interradicularia,septa interradicularia,interradicular septa,міжкореневі перегородки
431,fossa incisiva,fossa incisiva,incisive fossa,різцева ямка
432,foramen incisivum,foramen incisivum,incisive opening,різцевий отвір
433,processus palatinus maxillae,processus palatinus maxillae,palatine process of the upper jaw,піднебінний відросток верхньої щелепи
434,torus palatinus,torus palatinus,palatine torus,піднебінний валик
435,sutura palatina transversa,sutura palatina transversa,transverse palatine sutura,поперечне піднебінне шво
436,lamina horizontalis ossis palatini,lamina horizontalis ossis palatini,horisontal plate,горизонтальна пластинка піднебінної кістки
437,foramen palatinum majus,foramen palatinum majus,greater palatine opening,великий піднебінний отвір
438,foramen palatinum minus,foramen palatinum minus,lesser palatine opening,малий піднебінний отвір
439,choanae,choanae,choanae,хоани
440,fissura sphenopetrosa,fissura sphenopetrosa,sphenopetrosal fissura,кам’янисто-клиноподібна щілина
441,fissura petrooccipitalis,fissura petrooccipitalis,petrooccipital fissura,кам’янисто-потилична щілина
442,linea nuchae inferior,linea nuchae inferior,inferior nuchal line,нижня каркова лінія
443,linea nuchae superior,linea nuchae superior,superior nuchal line,верхня каркова лінія
444,condylus occipitalis,condylus occipitalis,occipital condyle,потиличний віросток
445,foramen jugulare,foramen jugulare,jugular opening,яремний отвір
446,foramen stylomastoideum,foramen stylomastoideum,stylomastoid opening,шилосокоподібний отвір
447,foramen lacerum,foramen lacerum,lacerate opening,рваний отвір
448,sutura sphenosquamosa,sutura sphenosquamosa,sphenosqua-mosal sutura,клиноподібно-лускове шво
449,fossa infratemporalis,fossa infratemporalis,infratemporal fossa,підскронева ямка
450,sutura zygomaticomaxillaris,sutura zygomaticomaxillaris,zygomaticomaxillar sutura,вилично-верхньощелепне шво
451,spina nasalis posterior,spina nasalis posterior,nasal posterior spine,задня носова ость
452,spinae palatinae,spinae palatinae,palatine spine,піднебінні ості
453,sutura palatina mediana,sutura palatina mediana,palatine medial sutura,серединне піднебінне шво
454,middle nasal concha,middle nasal concha,concha nasalis media,середня носова раковина
456,superior nasal concha,superior nasal concha,concha nasalis superior,верхня носова раковина
457,highest nasal concha,highest nasal concha,concha nasalis suprema,найвища носова раковина
458,aperture of sphenoid sinus,aperture of sphenoid sinus,apertura sinus sphenoidalis,отвір клиноподібної пазухи
459,sphenoid sinus,sphenoid sinus,sinus sphenoidalis,клиноподібна пазуха
460,orbital process of perpendicular plate of palatine bone,processus orbitalis laminae perpendicularis ossis palatini,orbital process of perpendicular plate of palatine bone,очноямковий відросток перпендикулярної пластинки піднебінної кістки
461,sphenopalatine opening,foramen sphenopalatinum,sphenopalatine opening,клино-піднебінний отвір
462,sphenoidal process of perpendicular plate of palatine bone,processus sphenoidalis lamine perpendicularis ossis palatini,sphenoidal process of perpendicular plate of palatine bone,крилоподібний відросток перпендикулярної пластинки піднебінної кістки
463,medial plate of pterygoid process,lamina medialis processus pterygoidei,medial plate of pterygoid process,присередня пластинка крилоподібного відростка
464,ethmoid process,processus ethmoidalis,ethmoid process,решітчастий відросток
466,nasopharyngeal meatus,meatus nasopharyngeus,nasopharyngeal meatus,носоглотковий хід
467,horizontal plate of palatine bone,lamina horizontalis ossis palatini,horizontal plate of palatine bone,горизонтальна пластинка піднебінної кістки
468,inferior nasal concha,concha nasalis inferior,inferior nasal concha,нижня носова раковина
469,palatine process of upper jaw,processus palatinus maxillae,palatine process of upper jaw,піднебінний відросток верхньої щелепи
470,incisive canal,canalis incisivus,incisive canal,різцевий канал
471,inferior nasal meatus,meatus nasi inferior,inferior nasal meatus,нижній носовий хід
472,lacrimal process,processus lacrimalis,lacrimal process,сльозовий відросток
473,middle nasal meatus,meatus nasi medius,middle nasal meatus,середній носовий хід
474,lacrimal bone,os lacrimale,lacrimal bone,сльозова кістка
475,frontal process of upper jaw,processus frontalis maxillae,frontal process of upper jaw,лобовий відросток нижньої щелепи
476,superior nasal meatus,meatus nasi superior,superior nasal meatus,верхній носовий хід
477,nasal bone,os nasale,nasal bone,носова кістка
478,frontal sinus,sinus frontalis,frontal sinus,лобова пазуха
479,lamina cribrosa,lamina cribrosa,cribriform plate,дирчаста пластинка
480,pars orbitalis ossis frontalis,pars orbitalis ossis frontalis,orbital plate of frontal bone,очноямкова частина лобової кістки
481,sulcus praechiasma-ticus,sulcus praechiasmaticus,prechiasmatic groove,передперехресна борозна
482,tuberculum sellae,tuberculum sellae,tubercle of Turkish saddle,горбок сідла
483,fossa hypophysialis,fossa hypophysialis,hypophysial fossa,гіпофізарна ямка
484,porus acusticus internus,porus acusticus internus,internal acustic porus,внутрішній слуховий отвір
485,foramen spinosum,foramen spinosum,groove of inferior petrosal sinus,борозна нижньої кам’янистої пазухи
486,squama occipitalis,squama occipitalis,occipital squama,потилична луска
487,foramen magnum,foramen magnum,foramen magnum,внутрішній потиличний виступ
488,protuberantia occipitalis interna,protuberantia occipitalis interna,internal occipital protuberance,внутрішній потиличний гребінь
489,crista occipitalis interna,crista occipitalis interna,internal occipital crest,соскоподібний отвір
490,foramen mastoideum,foramen mastoideum,mastoid opening,борозна сигмоподібної пазухи
491,sulcus sinus mastoidei,sulcus sinus mastoidei,groove of sigmoid sinus,борозна верхньої кам’янистої пазухи
492,sulcus sinus petrosi superioris,sulcus sinus petrosi superioris,groove of superior petrosal sinus,кам’янисто- лускова щілина
493,sutura sphenofrontalis,sutura sphenofrontalis,sphenofrontal sutura,лобово-клиноподібне шво
494,jugum sphenoidale,jugum sphenoidale,sphenoid eminence,клиноподібні випини
495,foramen caecum,foramen caecum,blind opening,сліпий отвір
496,corpus claviculae,corpus claviculae,clavicular body,тіло ключиці
497,extremitas acromialis,extremitas acromialis,acromial end,надплечовий кінець
498,extremitas sternalis,extremitas sternalis,sternal end,груднинний кінець
499,sulcus m subclavii,sulcus m subclavii,groove for subclavian muscle,борозна підключичного м'яза
500,impressio lig costoclavicularis,impressio lig costoclavicularis,impression of costoclavicular ligament,втиснення реброво-ключичної зв'язки
501,tuberculum conoideum,tuberculum conoideum,conoid tubercle,конусоподібний горбок
502,linea trapezoidea,linea trapezoidea,trapezoid line,трапецієподібна лінія
503,facies articularis acromialis,facies articularis acromialis,acromial articular surface,надплечова суглобова поверхня
504,coracoid process,coracoid process,processus coracoideus,дзьобоподібний відросток
505,acromion,acromion,acromion,акроміон
506,acromial angle,acromial angle,angulus acromialis,акроміальний кут
507,lateral angle,lateral angle,angulus lateralis,бічний кут
508,lateral margin,lateral margin,margo lateralis,бічний край
509,posterior surface,posterior surface,facies posterior,задня поверхня
510,inferior angle,inferior angle,angulus inferior,нижній кут
511,medial margin,medial margin,margo medialis,присередній край
512,infraspinate fossa,infraspinate fossa,fossa infraspinata,підостьова ямка
513,supraspinate fossa,supraspinate fossa,fossa supraspinata,надостьова ямка
515,superior angle,superior angle,angulus superior,верхній кут
516,superior margin,superior margin,margo superior,верхній край
517,scapular spine,scapular spine,spina scapulae,ость лопатки
518,scapular notch,scapular notch,incisura scapulae,вирізка лопатки
519,angulus superior,angulus superior,superior angle,верхній кут
521,fossa subscapularis,fossa subscapularis,subscapular fossa,підлопаткова ямка
522,margo medialis,margo medialis,medial margin,присередній край
523,facies costalis,facies costalis,costal surface,реброва поверхня
524,angulus inferior,angulus inferior,inferior angle,нижній кут
525,margo lateralis,margo lateralis,lateral margin,бічний край
526,tuberculum infraglenoidale,tuberculum infraglenoidale,infraglenoid tubercle,підсуглобовий горбок
527,angulus lateralis,angulus lateralis,lateral angle,бічний кут
528,cavitas glenoidalis,cavitas glenoidalis,glenoid cavity,суглобова западина
529,angulus acromialis,angulus acromialis,acromial angle,акроміальний кут
530,processus coracoideus,processus coracoideus,coracoid process,дзьобоподібний відросток
531,collum scapulae,collum scapulae,neck of scapula,шийка лопатки
532,incisura scapulae,incisura scapulae,scapular notch,вирізка лопатки
533,margo superior,margo superior,superior margin,верхній край
534,collum anatomicum,collum anatomicum,anatomical neck,анатомічна шийка
535,tuberculum minus,tuberculum minus,lesser tubercle,малий горбок
536,collum chirurgicum,collum chirurgicum,surgical neck,хірургічна шийка
537,crista tuberculi minoris,crista tuberculi minoris,crest of lesser tubercle,гребінь малого горбка
538,crista supraepicondylaris medialis,crista supraepicondylaris medialis,medial supraepicondylar crest,присередній наднадвиростковий гребінь
539,fossa coronoidea,fossa coronoidea,coronoid fossa,вінцева ямка
540,processus supracondylaris,processus supracondylaris,supracondylar process,надвиростковий відросток
541,epicondylus medialis,epicondylus medialis,medial epicondyle,присередній надвиросток
542,capitulum humeri,capitulum humeri,small head of humerus,головочка плечової кістки
543,epicondylus lateralis,epicondylus lateralis,lateral epicondyle,бічний надвиросток
544,fossa radialis,fossa radialis,radial fossa,променева ямка
545,crista supraepicondylaris lateralis,crista supraepicondylaris lateralis,lateral supraepicondylar crest,бічний наднадвиростковий гребінь
546,facies anterolateralis,facies anterolateralis,anterolateral surface,передньобічна поверхня
547,tuberositas deltoidea,tuberositas deltoidea,deltoid tuberosity,дельтоподібна горбистість
548,crista tuberculi majoris,crista tuberculi majoris,crest of greater tubercle,гребінь великого горбка
549,tuberculum majus,tuberculum majus,greater tubercle,великий горбок
550,sulcus nervi radialis,sulcus nervi radialis,groove for radial nerve,борозна променевого нерва
551,fossa olecrani,fossa olecrani,olecranon fossa,ліктьова ямка
552,trochlea humeri,trochlea humeri,humeral trochlea,блок плечової кістки
553,condylus humeri,condylus humeri,humeral condyle,виросток плечової кістки
554,sulcus nervi ulnaris,sulcus nervi ulnaris,groove for ulnar nerve,борозна ліктьового нерва
555,facies posterior,facies posterior,posterior surface,задня поверхня
556,facies anteromedialis,facies anteromedialis,anteromedial surface,передньоприсередня поверхня
557,corpus humeri,corpus humeri,humeral body,тіло плечової кістки
558,caput humeri,caput humeri,humeral head,головка плечової кістки
559,incisura trochlearis,incisura trochlearis,trochlear notch,блокова вирізка
560,incisura radialis,incisura radialis,radial notch,променева вирізка
561,tuberositas ulnae,tuberositas ulnae,ulnar tuberosity,горбистість ліктьової кістки
562,foramen nutricium,foramen nutricium,nutritive foramen,живільний отвір
563,corpus ulnae,corpus ulnae,ulnar body,тіло ліктьової кістки
564,margo anterior,margo anterior,anterior margin,передній край
565,facies anterior,facies anterior,anterior surface,передня поверхня
566,caput ulnae,caput ulnae,head of ulnae,головка ліктьової кістки
567,circumferentia articularis,circumferentia articularis,articular circumflex surface,суглобовий обвід
568,incisura ulnaris,incisura ulnaris,ulnar notch,ліктьова вирізка
569,corpus radii,corpus radii,radial body,тіло променевої кістки
570,tuberositas radii,tuberositas radii,radial tuberosity,горбистість променевої кістки
571,circumferentia articularis radii,circumferentia articularis radii,articular circumflex surface,суглобовий обвід
572,fovea articularis,fovea articularis,articular fossa,суглобова ямка
573,caput radii,caput radii,radial head,головка променевої кістки
574,collum radii,collum radii,radial neck,шийка променевої кістки
575,facies lateralis,facies lateralis,lateral surface,бічна поверхня
576,margo posterior,margo posterior,posterior margin,задній край
577,tuberculum dorsale,tuberculum dorsale,dorsal tubercle,дорсальний горбок
578,facies medialis,facies medialis,medial surface,присередня поверхня
579,olecranon,olecranon,olecranon,ліктьовий відросток
580,os scaphoideum,os scaphoideum,scaphoid bone,човноподібна кістка
581,phalanx proximalis,phalanx proximalis,proximal phalanx,проксимальна фаланга
582,spatia interossea metacarpi,spatia interossea metacarpi,intermetacarpal space,міжкісткові проміжки п’ясткових кісток
583,os metacarpale V,os metacarpale V,metacarpal bone,п’ясткова кістка V
584,os hamatum,os hamatum,hamate bone,гачкувата кістка
585,os capitatium,os capitatium,capitate bone,головчаста кістка
586,os pisiforme,os pisiforme,pisiforme bone,горохоподібна кістка
587,os triquetrum,os triquetrum,triquetral bone,тригранна кістка
588,os lunatum,os lunatum,lunate bone,півмісяцева кістка
589,hamulus ossi hamati,hamulus ossi hamati,hook of hamate bone,гачок гачкуватої кістки
590,os metacarpale III,os metacarpale III,metacarpal bone III,п'ясткова кістка III
591,phalanx distalis,phalanx distalis,distal phalanx,кінцева фаланга
592,caput phalangis,caput phalangis,head of phalangis,головка фаланги
593,corpus phalangis,corpus phalangis,body of phalangis,тіло фаланги
594,basis phalangis,basis phalangis,base of phalangis,основа фаланги
595,ossa sesamoidea,ossa sesamoidea,sesamoid bones,сесамоподібні кістки
596,caput,caput,head,головка
597,os metacarpale I,os metacarpale I,metacarpal bone,п’ясткова кістка І
598,corpus,corpus,body,тіло
599,basis,basis,base,основа
600,os trapezoideum,os trapezoideum,trapezium bone,трапецієподібна кістка
601,tuberculum ossis trapezii,tuberculum ossis trapezii,tubercle of trapezium bone,горбок кісткитрапеції
602,os trapezium,os trapezium,trapezoid bone,кісткатрапеція
603,os capitatum,os capitatum,capitate bone,головчаста кістка
604,ossa metatarsalia,ossa metatarsalia,metatarsal bones,плеснові кістки
605,ossa digitorum,ossa digitorum,bones of the toes,кістки пальців
606,labium externum,labium externum,external lip,зовнішня губа
607,linea intermedia,linea intermedia,intermedial line,проміжна лінія
608,labium internum,labium internum,internal lip,внутрішня губа
609,tuberculum iliacum,tuberculum iliacum,iliac tubercle,клубовий горбок
610,facies glutea,facies glutea,gluteal surface,сіднична поверхня
611,spina iliaca anterior superior,spina iliaca anterior superior,anterior superior iliac spine,верхня передня клубова ость
612,linea glutea inferior,linea glutea inferior,inferior gluteal line,нижня сіднична лінія
613,spina iliaca anterior inferior,spina iliaca anterior inferior,anterior inferior iliac spine,нижня передня клубова ость
614,sulcus supraacetabularis,sulcus supraacetabularis,supraacetabular groove,надкульшова борозна
615,corpus ossis ilii,corpus ossis ilii,body of ilium,тіло клубової кістки
616,acetabulum,acetabulum,acetabulum,кульшова западина
617,fossa acetabuli,fossa acetabuli,acetabular fossa,ямка кульшової западини
618,facies lunata,facies lunata,lunate surface,півмісяцева поверхня
619,os pubis,os pubis,pubic bone,лобкова кістка
620,ramus inferior ossis pubis,ramus inferior ossis pubis,inferior branch of pubis,нижня гілка лобкової кістки
621,foramen obturatum,foramen obturatum,obturate opening,затульний отвір
622,os ischii,os ischii,ischium,сіднича кістка
623,tuber ischiadicum,tuber ischiadicum,ischiadic tuber,сідничий горб
624,corpus ossis ischii,corpus ossis ischii,body of ischium,тіло сідничої кістки
625,incisura ischiadica minor,incisura ischiadica minor,lesser ischiadic notch,мала сіднича вирізка
626,spina ischiadica,spina ischiadica,ischiadic spine,сіднича ость
627,limbus acetabuli,limbus acetabuli,acetabular limb,кант кульшової западини
628,incisura ischiadica major,incisura ischiadica major,greater ischiadic notch,велика сіднича вирізка
629,spina iliaca posterior inferior,spina iliaca posterior inferior,posterior inferior iliac spine,нижня задня клубова ость
630,spina iliaca posterior superior,spina iliaca posterior superior,posterior superior iliac spine,верхня задня клубова ость
631,linea glutea posterior,linea glutea posterior,posterior gluteal line,задня сіднична лінія
632,os ilium,os ilium,ilium,клубова кістка
633,ala ossis ilii,ala ossis ilii,wing of ilium,крило клубової кістки
634,linea anterior,linea anterior,anterior line,передня лінія
635,tuberositas iliaca,tuberositas iliaca,iliac tuberosity,клубова горбистість
636,facies sacropelvina,facies sacropelvina,sacropelvic surface,крижовотазова поверхня
637,facies auricularis,facies auricularis,auricular surface,вушкоподібна поверхня
638,linea arcuata,linea arcuata,arcuate line,дугоподібна лінія
639,tuberculum obturatorium posterius,tuberculum obturatorium posterius,posterior obturate tuberculum,задній затульний горбок
640,crista pubica,crista pubica,pubic crest,лобковий гребінь
641,crista obturatoria,crista obturatoria,obturate crest,затульний гребінь
642,pecten ossis pubis,pecten ossis pubis,pecten of pubic bone,гребінь лобкової кістки
643,eminentia iliopubica,eminentia iliopubica,iliopubic eminence,клубово-лобкове підвищення
644,crista iliaca,crista iliaca,iliac crest,клубовий гребінь
645,fossa iliaca,fossa iliaca,iliac fossa,клубова ямка
646,tuber ishiadicum,tuber ishiadicum,ishiadic tuber,сідничий горб
647,ramus ossis ischii,ramus ossis ischii,ramus of ischium,гілка сідничої кістки
648,facies symphysialis,facies symphysialis,symphysial surface,симфізна поверхня
649,tuberculum pubicum,tuberculum pubicum,pubic tubercle,лобковий горбок
650,ramus superior ossis pubis,ramus superior ossis pubis,superior pubic branch,верхня гілка лобкової кістки
651,sulcus obturatorius,sulcus obturatorius,obturator groove,затульна борозна
652,tuberculum obturatorium anterius,tuberculum obturatorium anterius,anterior obturator tubercle,передній затульний горбок
653,caput femoris,caput femoris,femoral head,головка стегнової кістки
654,trochanter major,trochanter major,greater trochanter,великий вертлюг
655,crista intertrochanterica,crista intertrochanterica,intertrochanteric crest,міжвертлюговий гребінь
656,trochanter tertius,trochanter tertius,third trochanter,третій вертлюг
657,tuberositas glutea,tuberositas glutea,gluteal tuberosity,сіднична горбистість
658,linea pectinea,linea pectinea,pectineal line,гребінна лінія
659,linea aspera,linea aspera,rough line,шорстка лінія
660,labium mediale,labium mediale,medial lip,присередня губа
661,labium laterale,labium laterale,lateral lip,бічна губа
664,facies poplitea,facies poplitea,popliteal surface,підколінна поверхня
665,linea supracondylaris lateralis,linea supracondylaris lateralis,lateral supracondylar line,бічна надвиросткова лінія
666,linea intercondylaris,linea intercondylaris,intercondylar line,міжвиросткова лінія
667,condylus lateralis,condylus lateralis,lateral condyle,бічний виросток
668,fossa intercondylaris,fossa intercondylaris,intercondylar fossa,міжвиросткова ямка
669,condylus medialis,condylus medialis,medial condyle,присередній виросток
670,linea supracondylaris medialis,linea supracondylaris medialis,medial supracondylar line,присередня надвиросткова лінія
671,tuberculum adductorium,tuberculum adductorium,adductor tubercle,привідний горбок
672,facies patellaris,facies patellaris,patellar surface,наколінкова поверхня
673,corpus femoris,corpus femoris,femoral body,тіло стегнової кістки
674,linea intertrochanterica,linea intertrochanterica,intertrochanteric line,міжвертлюгова лінія
675,fovea capitis femoris,fovea capitis femoris,fovea of femoral head,ямка головки стегнової кістки
676,collum femoris,collum femoris,femoral neck,шийка стегнової кістки
677,trochanter minor,trochanter minor,lesser trochanter,малий вертлюг
678,basis patellae,basis patellae,base of patella,основа наколінка
679,apex patellae,apex patellae,apex of patellae,верхівка наколінка
680,eminentia untercondylaris,eminentia untercondylaris,intercondylar eminence,міжвиросткове підвищення
681,apex capitis fibulae,apex capitis fibulae,apex of fibular head,верхівка головки малогомілкової кістки
682,corpus fibulae,corpus fibulae,body of fibula,тіло малогомілкової кістки
683,margo interosseus,margo interosseus,interosseus margin of the fibula,міжкістковий край
684,sulcus malleolaris,sulcus malleolaris,malleolar groove,кісточкова борозна
685,malleolus lateralis,malleolus lateralis,lateral malleolus,бічна кісточка
686,fossa malleoli lateralis,fossa malleoli lateralis,lateral malleolar fossa,ямка бічної кісточки
687,facies articularis malleoli,facies articularis malleoli,malleolar articular surface,суглобова поверхня кісточки
688,malleolus medialis,malleolus medialis,medial malleolus,присередня кісточка
689,corpus tibiae,corpus tibiae,body of tibia,тіло великогомілкової кістки
690,linea m solei,linea m solei,line of soleus muscle,лінія камбалоподібного м’яза
691,facies articularis fibularis,facies articularis fibularis,articular fibular surfaces,малогомілкова суглобова поверхня
692,tuberositas tibiae,tuberositas tibiae,tuberosity of the tibia,горбистість великогомілкової кістки
693,margo interosseus tibiae,margo interosseus tibiae,interosseus tibiae margin,міжкістковий край великогомілкової кістки
694,margo interosseus fibulae,margo interosseus fibulae,interosseus margin of the fibula,міжкістковий край малогомілкової кістки
695,collum fibulae,collum fibulae,neck of the fibula,шийка малогомілкової кістки
696,caput fibulae,caput fibulae,head of the fibula,головка малогомілкової кістки
697,facies articularis capitis fibulae,facies articularis capitis fibulae,articulate surface of fibular head,суглобова поверхня головки малогомілкової кістки
698,tuberculum intercondylare mediale,tuberculum intercondylare mediale,medial intercondylar tubercle,присередній міжвиростковий горбок
699,area intercondylaris anterior,area intercondylaris anterior,anterior intercondylar area,переднє міжвиросткове поле
700,tuberculum intercondylare laterale,tuberculum intercondylare laterale,lateral intercondylar tubercle,бічний міжвиростковий горбок
701,eminentia intercondylaris,eminentia intercondylaris,intercondylar eminence,міжвиросткове підвищення
702,area intercondylaris posterior,area intercondylaris posterior,posterior intercondylar area,заднє міжвиросткове поле
703,phalanx media,phalanx media,medial phalanx,середня фаланга
704,spatia interossea metatarsi,spatia interossea metatarsi,interossal metatarsal space,міжкісткові проміжки плесна
705,os cuboideum,os cuboideum,cuboid bone,кубоподібна кістка
706,talus,talus,talus,надп'яткова кістка
707,os navicularae,os navicularae,navicular bone,човноподібна кістка
708,os cuneiforme laterale,os cuneiforme laterale,lateral cuneiforme bone,бічна клиноподібна кістка
709,os cuneiforme mediale,os cuneiforme mediale,medial cuneiforme bone,присередня клиноподібна кістка
710,os metatarsale II,os metatarsale II,metatarsal bone,плеснова кістка II
711,tuberositas phalangis distalis,tuberositas phalangis distalis,tuberosity of the distal phalanx,горбистість дистальної фаланги
712,facies superior trochleae,facies superior trochleae,superior trochlear surface,верхня блокова поверхня
713,processus posterior tali,processus posterior tali,posterior process of talus,задній відросток надп’яткової кістки
714,calcaneus,calcaneus,calcaneus,п’яткова кістка
715,tuber calcanei,tuber calcanei,calcaneal tuber,п'ятковий горб
716,processus medialis tuberis calcanei,processus medialis tuberis calcanei,medial process of calcaneal tuber,присередній відросток п’яткового горба
717,tuberositas ossis navicularis,tuberositas ossis navicularis,tuberosity of navicular bone,горбистість човноподібної кістки
718,os metatarsale I,os metatarsale I,metacarpal bone I,перша плеснова кістка
719,os naviculare,os naviculare,navicular bone,човноподібна кістка
720,tuberositas ossis metatarsalis I,tuberositas ossis metatarsalis I,tuberosity of V metatarsal bone,горбистість плеснової кістки І
721,os cuneiforme intermedium,os cuneiforme intermedium,cuneiforme intermedial bone,проміжна клиноподібна кістка
722,sulcus tendis m flexoris hallucis longi,sulcus tendis m flexoris hallucis longi,groove for tendom of flexor hallucis longus muscle,борозна сухожилка довгого м’язазгинача великого пальця
723,tuberculum calcanei,tuberculum calcanei,tuberculum of calcaneus,п'ятковий горбок
724,trochlea peronealis,trochlea peronealis,peroneal trochlea,малогомілковий блок
725,sulcus tendis m peronei longi,sulcus tendis m peronei longi,groove for tendom of peroneus longus muscle,борозна сухожилка довгого малогомілкового м'яза
726,tuberositas ossis metatarsalis V,tuberositas ossis metatarsalis V,tuberosity of V metatarsal bone,горбистість плеснової кістки V
727,trochlea tali,trochlea tali,trochlea of talus,блок надп’яткової кістки
728,sinus tarsi,sinus tarsi,tarsal sinus,пазуха заплесна
729,collum tali,collum tali,talar neck,шийки надп'яткової кістки
730,tuberositas ossis cuboidei,tuberositas ossis cuboidei,tuberosity of cuboid bone,горбистість кубоподібної кістки
731,sulcus tendinis mm peroneorum,sulcus tendinis mm peroneorum,groove for tendon of peroneus muscles,борозна сухожилків малогомілкових м'язів
732,processus lateralis tuber calcanei,processus lateralis tuber calcanei,lateral tuber of calcaneal process,бічний відросток п'яткового горба
733,processus lateralis tali,processus lateralis tali,lateral talar process,бічний відросток надп’яткової кістки
734,facies malleolaris lateralis,facies malleolaris lateralis,malleolar lateral surface,бічна кісточкова поверхня
735,sulcus tendinis m flexoris hallucis longi,sulcus tendinis m flexoris hallucis longi,groove for tendom of flexor hallucis longus muscle,борозна сухожилка довгого м’язазгинача великого пальця
736,tuberculum laterale,tuberculum laterale,lateral tuberculum,бічний горбок
737,tuberculum mediale,tuberculum mediale,medial tuberculum,присередній горбок
738,facies malleolaris medialis,facies malleolaris medialis,medial malleolar surface,присередня кісточкова поверхня
739,facies articularis navicularis,facies articularis navicularis,articular navicular surface,суглобова човноподібна поверхня
740,facies articularis talaris posterior,facies articularis talaris posterior,posterior articular talar surface,задня надп'яткова суглобова поверхня
741,sustentaculum tali,sustentaculum tali,sustentaculum of talus,підпора надп’яткової кістки
742,sulcus calcanei,sulcus calcanei,groove of calcaneus,борозна п’яткової кістки
743,facies articularis talaris media,facies articularis talaris media,medial articular talar surface,середня надп’яткова суглобова поверхня
744,facies articularis talaris anterior,facies articularis talaris anterior,anterior articular talar surface,передня надп'яткова суглобова поверхня
745,Quod os hoc est?,Quod os hoc est?,What bone is this?,Яка це кістка?
746,grata verbum,Grata ad Digital Anatomia Atlas Lego operating modus,Welcome to the Digital Anatomy Atlas Please select the operating mode,Ласкаво просимо до цифрового анатомічного атласу Будь ласка виберіть режим роботи
747,audit,Audit,Audit,Перевірка
748,adsuescere,Adsuescere,Familiarization,Ознайомлення
749,proventus,Eventus tuus,Your result,Ваш результат
750,repeat,Repeat,Repeat,Повторити
